"sale_date","sale_month","total_sales"
"2019-01-01","2019-01-01 00:00:00+05:30","4519.22"
"2019-01-02","2019-01-01 00:00:00+05:30","1852.86"
"2019-01-03","2019-01-01 00:00:00+05:30","1979.17"
"2019-01-04","2019-01-01 00:00:00+05:30","1546.3699999999997"
"2019-01-05","2019-01-01 00:00:00+05:30","3368.27"
"2019-01-06","2019-01-01 00:00:00+05:30","3442.1000000000004"
"2019-01-07","2019-01-01 00:00:00+05:30","2699.2799999999997"
"2019-01-08","2019-01-01 00:00:00+05:30","5041.6500000000015"
"2019-01-09","2019-01-01 00:00:00+05:30","2877.4700000000003"
"2019-01-10","2019-01-01 00:00:00+05:30","3391.3799999999997"
"2019-01-11","2019-01-01 00:00:00+05:30","2014.25"
"2019-01-12","2019-01-01 00:00:00+05:30","4937.87"
"2019-01-13","2019-01-01 00:00:00+05:30","2334.48"
"2019-01-14","2019-01-01 00:00:00+05:30","3777.73"
"2019-01-15","2019-01-01 00:00:00+05:30","5661.2"
"2019-01-16","2019-01-01 00:00:00+05:30","4084.84"
"2019-01-17","2019-01-01 00:00:00+05:30","2993.0999999999995"
"2019-01-18","2019-01-01 00:00:00+05:30","2648.0699999999997"
"2019-01-19","2019-01-01 00:00:00+05:30","4680.69"
"2019-01-20","2019-01-01 00:00:00+05:30","3481.38"
"2019-01-21","2019-01-01 00:00:00+05:30","2278.19"
"2019-01-22","2019-01-01 00:00:00+05:30","1623.59"
"2019-01-23","2019-01-01 00:00:00+05:30","5708.750000000001"
"2019-01-24","2019-01-01 00:00:00+05:30","5144.8099999999995"
"2019-01-25","2019-01-01 00:00:00+05:30","4476.54"
"2019-01-26","2019-01-01 00:00:00+05:30","4245.25"
"2019-01-27","2019-01-01 00:00:00+05:30","4415.14"
"2019-01-28","2019-01-01 00:00:00+05:30","4761.63"
"2019-01-29","2019-01-01 00:00:00+05:30","3349.1099999999997"
"2019-01-30","2019-01-01 00:00:00+05:30","2436.4400000000005"
"2019-01-31","2019-01-01 00:00:00+05:30","4983.33"
"2019-02-01","2019-02-01 00:00:00+05:30","2328.13"
"2019-02-02","2019-02-01 00:00:00+05:30","3943.7599999999998"
"2019-02-03","2019-02-01 00:00:00+05:30","5207.549999999999"
"2019-02-04","2019-02-01 00:00:00+05:30","2323.33"
"2019-02-05","2019-02-01 00:00:00+05:30","2886.79"
"2019-02-06","2019-02-01 00:00:00+05:30","2767.07"
"2019-02-07","2019-02-01 00:00:00+05:30","6884.01"
"2019-02-08","2019-02-01 00:00:00+05:30","4842.53"
"2019-02-09","2019-02-01 00:00:00+05:30","3116.09"
"2019-02-10","2019-02-01 00:00:00+05:30","2991.45"
"2019-02-11","2019-02-01 00:00:00+05:30","4325.86"
"2019-02-12","2019-02-01 00:00:00+05:30","2856.18"
"2019-02-13","2019-02-01 00:00:00+05:30","889.75"
"2019-02-14","2019-02-01 00:00:00+05:30","2337.23"
"2019-02-15","2019-02-01 00:00:00+05:30","6505.51"
"2019-02-16","2019-02-01 00:00:00+05:30","2384.54"
"2019-02-17","2019-02-01 00:00:00+05:30","5047.210000000001"
"2019-02-18","2019-02-01 00:00:00+05:30","1424.79"
"2019-02-19","2019-02-01 00:00:00+05:30","4026.7799999999997"
"2019-02-20","2019-02-01 00:00:00+05:30","2577.54"
"2019-02-21","2019-02-01 00:00:00+05:30","1327.3700000000001"
"2019-02-22","2019-02-01 00:00:00+05:30","2326.01"
"2019-02-23","2019-02-01 00:00:00+05:30","2228.1800000000003"
"2019-02-24","2019-02-01 00:00:00+05:30","2592.82"
"2019-02-25","2019-02-01 00:00:00+05:30","4578.32"
"2019-02-26","2019-02-01 00:00:00+05:30","2293.4900000000002"
"2019-02-27","2019-02-01 00:00:00+05:30","5580.4299999999985"
"2019-02-28","2019-02-01 00:00:00+05:30","1997.1599999999999"
"2019-03-01","2019-03-01 00:00:00+05:30","2508.92"
"2019-03-02","2019-03-01 00:00:00+05:30","6247.91"
